,from,to,intensity.max,intensity.average,intensity.min,intensity.index
0,2023-08-02T20:33Z,2023-08-03T20:33Z,156,110,73,low
1,2023-08-03T20:33Z,2023-08-04T20:33Z,245,172,121,moderate
2,2023-08-04T20:33Z,2023-08-05T20:33Z,258,186,133,moderate
3,2023-08-05T20:33Z,2023-08-06T20:33Z,154,100,66,low
4,2023-08-06T20:33Z,2023-08-07T20:33Z,183,144,110,moderate
5,2023-08-07T20:33Z,2023-08-08T20:33Z,197,146,99,moderate
6,2023-08-08T20:33Z,2023-08-09T20:33Z,261,180,120,moderate
7,2023-08-09T20:33Z,2023-08-10T20:33Z,264,208,157,high
8,2023-08-10T20:33Z,2023-08-11T20:33Z,213,119,60,low
9,2023-08-11T20:33Z,2023-08-12T20:33Z,173,106,62,low
10,2023-08-12T20:33Z,2023-08-13T20:33Z,182,106,70,low
11,2023-08-13T20:33Z,2023-08-14T20:33Z,188,165,137,moderate
12,2023-08-14T20:33Z,2023-08-15T20:33Z,259,184,150,moderate
13,2023-08-15T20:33Z,2023-08-16T20:33Z,283,239,191,high
14,2023-08-16T20:33Z,2023-08-17T20:33Z,246,169,125,moderate
15,2023-08-17T20:33Z,2023-08-18T20:33Z,163,138,102,moderate
16,2023-08-18T20:33Z,2023-08-19T20:33Z,149,90,40,low
17,2023-08-19T20:33Z,2023-08-20T20:33Z,204,121,72,moderate
18,2023-08-20T20:33Z,2023-08-21T20:33Z,190,152,119,moderate
19,2023-08-21T20:33Z,2023-08-22T20:33Z,245,164,134,moderate
20,2023-08-22T20:33Z,2023-08-23T20:33Z,282,243,208,high
21,2023-08-23T20:33Z,2023-08-24T20:33Z,260,234,212,high
22,2023-08-24T20:33Z,2023-08-25T20:33Z,248,220,195,high
23,2023-08-25T20:33Z,2023-08-26T20:33Z,209,177,130,moderate
24,2023-08-26T20:33Z,2023-08-27T20:33Z,212,139,107,moderate
25,2023-08-27T20:33Z,2023-08-28T20:33Z,220,165,105,moderate
26,2023-08-28T20:33Z,2023-08-29T20:33Z,220,181,160,moderate
27,2023-08-29T20:33Z,2023-08-30T20:33Z,216,160,124,moderate
28,2023-08-30T20:33Z,2023-08-31T20:33Z,245,215,186,high
29,2023-08-31T20:33Z,2023-09-01T20:33Z,249,217,199,high
30,2023-09-02T20:33Z,2023-09-03T20:33Z,224,129,78,moderate
31,2023-09-03T20:33Z,2023-09-04T20:33Z,232,166,125,moderate
32,2023-09-04T20:33Z,2023-09-05T20:33Z,234,193,135,moderate
33,2023-09-05T20:33Z,2023-09-06T20:33Z,276,214,171,high
34,2023-09-06T20:33Z,2023-09-07T20:33Z,264,228,173,high
35,2023-09-07T20:33Z,2023-09-08T20:33Z,280,251,206,high
36,2023-09-08T20:33Z,2023-09-09T20:33Z,274,204,125,high
37,2023-09-09T20:33Z,2023-09-10T20:33Z,275,217,186,high
38,2023-09-10T20:33Z,2023-09-11T20:33Z,262,210,146,high
