,from,to,intensity.max,intensity.average,intensity.min,intensity.index
0,2023-08-28T00:00Z,2023-08-29T00:00Z,220,174,106,moderate
1,2023-08-29T00:00Z,2023-08-30T00:00Z,209,173,129,moderate
2,2023-08-30T00:00Z,2023-08-31T00:00Z,222,170,124,moderate
3,2023-08-31T00:00Z,2023-09-01T00:00Z,245,215,186,high
4,2023-09-01T00:00Z,2023-09-02T00:00Z,249,219,199,high
5,2023-09-02T00:00Z,2023-09-03T00:00Z,224,185,123,moderate
6,2023-09-03T00:00Z,2023-09-04T00:00Z,194,127,78,moderate
7,2023-09-04T00:00Z,2023-09-05T00:00Z,232,172,125,moderate
8,2023-09-05T00:00Z,2023-09-06T00:00Z,234,195,135,moderate
9,2023-09-06T00:00Z,2023-09-07T00:00Z,276,219,171,high
10,2023-09-07T00:00Z,2023-09-08T00:00Z,270,229,173,high
11,2023-09-08T00:00Z,2023-09-09T00:00Z,280,251,206,high
12,2023-09-09T00:00Z,2023-09-10T00:00Z,275,202,125,high
13,2023-09-10T00:00Z,2023-09-11T00:00Z,252,211,178,high
14,2023-09-11T00:00Z,2023-09-12T00:00Z,262,216,146,high
15,2023-09-12T00:00Z,2023-09-13T00:00Z,271,232,132,high
16,2023-09-13T00:00Z,2023-09-14T00:00Z,229,182,134,moderate
17,2023-09-14T00:00Z,2023-09-15T00:00Z,244,186,94,moderate
18,2023-09-15T00:00Z,2023-09-16T00:00Z,237,195,122,moderate
19,2023-09-16T00:00Z,2023-09-17T00:00Z,183,143,116,moderate
20,2023-09-17T00:00Z,2023-09-18T00:00Z,176,126,88,moderate
21,2023-09-18T00:00Z,2023-09-19T00:00Z,111,67,29,low
22,2023-09-19T00:00Z,2023-09-20T00:00Z,74,61,40,low
23,2023-09-20T00:00Z,2023-09-21T00:00Z,112,72,50,low
24,2023-09-21T00:00Z,2023-09-22T00:00Z,214,146,70,moderate
25,2023-09-22T00:00Z,2023-09-23T00:00Z,186,134,101,moderate
26,2023-09-23T00:00Z,2023-09-24T00:00Z,189,137,64,moderate
27,2023-09-24T00:00Z,2023-09-25T00:00Z,68,59,37,low
28,2023-09-25T00:00Z,2023-09-26T00:00Z,205,118,64,low
29,2023-09-26T00:00Z,2023-09-27T00:00Z,192,146,72,moderate
30,2023-09-27T00:00Z,2023-09-28T00:00Z,228,138,55,moderate
31,2023-09-28T00:00Z,2023-09-29T00:00Z,177,106,50,low
32,2023-09-29T00:00Z,2023-09-30T00:00Z,162,105,53,low
33,2023-09-30T00:00Z,2023-10-01T00:00Z,217,162,68,moderate
34,2023-10-01T00:00Z,2023-10-02T00:00Z,197,119,69,low
35,2023-10-02T00:00Z,2023-10-03T00:00Z,239,196,78,moderate
36,2023-10-03T00:00Z,2023-10-04T00:00Z,101,67,34,low
37,2023-10-04T00:00Z,2023-10-05T00:00Z,141,84,42,low
38,2023-10-05T00:00Z,2023-10-06T00:00Z,190,120,59,moderate
39,2023-10-06T00:00Z,2023-10-07T00:00Z,134,77,45,low
40,2023-10-07T00:00Z,2023-10-08T00:00Z,158,90,57,low
41,2023-10-08T00:00Z,2023-10-09T00:00Z,197,135,87,moderate
42,2023-10-09T00:00Z,2023-10-10T00:00Z,261,205,111,high
43,2023-10-10T00:00Z,2023-10-11T00:00Z,186,121,55,moderate
44,2023-10-11T00:00Z,2023-10-12T00:00Z,185,119,55,low
45,2023-10-12T00:00Z,2023-10-13T00:00Z,281,226,120,high
46,2023-10-13T00:00Z,2023-10-14T00:00Z,125,89,51,low
47,2023-10-14T00:00Z,2023-10-15T00:00Z,111,70,53,low
48,2023-10-15T00:00Z,2023-10-16T00:00Z,221,125,64,moderate
49,2023-10-16T00:00Z,2023-10-17T00:00Z,264,234,177,high
50,2023-10-17T00:00Z,2023-10-18T00:00Z,219,136,64,moderate
51,2023-10-18T00:00Z,2023-10-19T00:00Z,85,67,52,low
52,2023-10-19T00:00Z,2023-10-20T00:00Z,177,118,54,low
53,2023-10-20T00:00Z,2023-10-21T00:00Z,113,87,64,low
54,2023-10-22T00:00Z,2023-10-23T00:00Z,261,243,232,high
55,2023-10-23T00:00Z,2023-10-24T00:00Z,264,213,105,high
56,2023-10-24T00:00Z,2023-10-25T00:00Z,241,200,107,high
57,2023-10-25T00:00Z,2023-10-26T00:00Z,252,219,175,high
58,2023-10-26T00:00Z,2023-10-27T00:00Z,236,195,136,moderate
59,2023-10-27T00:00Z,2023-10-28T00:00Z,219,180,88,moderate
60,2023-10-28T00:00Z,2023-10-29T00:00Z,144,108,62,low
61,2023-10-29T00:00Z,2023-10-30T00:00Z,141,90,62,low
62,2023-10-30T00:00Z,2023-10-31T00:00Z,226,157,67,moderate
63,2023-10-31T00:00Z,2023-11-01T00:00Z,208,161,100,moderate
64,2023-11-01T00:00Z,2023-11-02T00:00Z,108,75,49,low
65,2023-11-02T00:00Z,2023-11-03T00:00Z,122,85,50,low
66,2023-11-03T00:00Z,2023-11-04T00:00Z,168,102,57,low
67,2023-11-04T00:00Z,2023-11-05T00:00Z,194,166,122,moderate
68,2023-11-05T00:00Z,2023-11-06T00:00Z,196,154,109,moderate
69,2023-11-06T00:00Z,2023-11-07T00:00Z,181,131,78,moderate
70,2023-11-07T00:00Z,2023-11-08T00:00Z,211,140,74,moderate
71,2023-11-08T00:00Z,2023-11-09T00:00Z,181,123,69,moderate
72,2023-11-09T00:00Z,2023-11-10T00:00Z,206,154,82,moderate
73,2023-11-10T00:00Z,2023-11-11T00:00Z,230,170,104,moderate
74,2023-11-11T00:00Z,2023-11-12T00:00Z,267,188,96,moderate
